"filename", "language", "HTML", "JavaScript", "Markdown", "JSON", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\annem\Documents\Programming\pathfinder-sheet\.eslintrc.cjs", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\annem\Documents\Programming\pathfinder-sheet\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\annem\Documents\Programming\pathfinder-sheet\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\annem\Documents\Programming\pathfinder-sheet\package-lock.json", "JSON", 0, 0, 0, 4465, 0, 0, 0, 1, 4466
"c:\Users\annem\Documents\Programming\pathfinder-sheet\package.json", "JSON", 0, 0, 0, 31, 0, 0, 0, 1, 32
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\App.css", "CSS", 0, 0, 0, 0, 0, 37, 0, 6, 43
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 1, 4, 26
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Buffs\BuffForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 99, 0, 14, 19, 132
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Buffs\BuffList.jsx", "JavaScript JSX", 0, 0, 0, 0, 66, 0, 8, 8, 82
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Buffs\BuffSelector.jsx", "JavaScript JSX", 0, 0, 0, 0, 81, 0, 7, 11, 99
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Buffs\BuffSelectorItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 27, 0, 0, 6, 33
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Buffs\SelectedBuffItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 48, 0, 1, 14, 63
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\CharacterListItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 42, 0, 3, 5, 50
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\CharacterSheet.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\SelectCharacter.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 5, 26
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\BaseClassSelector.jsx", "JavaScript JSX", 0, 0, 0, 0, 46, 0, 7, 10, 63
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\ClassList.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 1, 4, 34
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\ClassTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 78, 0, 9, 18, 105
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Formatting\Formatting.js", "JavaScript", 0, 11, 0, 0, 0, 0, 2, 1, 14
