"filename", "language", "CSS", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Attributes\AttributeDisplayTable.jsx", "JavaScript JSX", 0, 99, 0, 6, 14, 119
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\CharacterSheet.jsx", "JavaScript JSX", 0, 37, 0, 5, 9, 51
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\CharacterArchetypesOfBaseClass.jsx", "JavaScript JSX", 0, 13, 0, 3, 1, 17
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\CharacterArchetypesOfBaseClassRow.jsx", "JavaScript JSX", 0, 24, 0, 3, 0, 27
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\CharacterClassInfo.jsx", "JavaScript JSX", 0, 63, 0, 0, 5, 68
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\CharacterClassRow.jsx", "JavaScript JSX", 0, 82, 0, 4, 14, 100
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\CharacterClassTable.jsx", "JavaScript JSX", 0, 101, 0, 6, 14, 121
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\CharacterClassToAdd.jsx", "JavaScript JSX", 0, 61, 0, 13, 13, 87
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\CharacterClassToAddRow.jsx", "JavaScript JSX", 0, 65, 0, 14, 10, 89
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Classes\NewCharacterClass.jsx", "JavaScript JSX", 0, 72, 0, 6, 8, 86
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Functions\attributes.js", "JavaScript", 0, 0, 4, 0, 0, 4
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Functions\totalCharacterLevel.js", "JavaScript", 0, 0, 16, 3, 1, 20
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\SelectCharacter.jsx", "JavaScript JSX", 0, 36, 0, 2, 9, 47
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Sheet Tabs\BasicsTab.jsx", "JavaScript JSX", 0, 99, 0, 5, 6, 110
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\Sheet Tabs\SkillsTab.jsx", "JavaScript JSX", 0, 20, 0, 3, 6, 29
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\BaseClassSelector.jsx", "JavaScript JSX", 0, -46, 0, -7, -10, -63
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\ClassSelector.jsx", "JavaScript JSX", 0, 85, 0, 18, 11, 114
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\ClassTable.jsx", "JavaScript JSX", 0, 0, 0, -5, -3, -8
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\Functions\babsaves.js", "JavaScript", 0, 0, 16, 4, 3, 23
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Classes\Functions\compatibleArchetypes.js", "JavaScript", 0, 0, 106, 17, 19, 142
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Pages\Character.jsx", "JavaScript JSX", 0, -1, 0, 1, 1, 1
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Skills\SkillRow.jsx", "JavaScript JSX", 0, 11, 0, 2, 4, 17
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Skills\SkillRowRank.jsx", "JavaScript JSX", 0, 22, 0, 3, 2, 27
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\index.css", "CSS", 55, 0, 0, 0, 9, 64
"Total", "-", 55, 843, 142, 106, 146, 1292
