"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\annem\Documents\Programming\pathfinder-sheet\.eslintrc.cjs", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\annem\Documents\Programming\pathfinder-sheet\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\annem\Documents\Programming\pathfinder-sheet\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\annem\Documents\Programming\pathfinder-sheet\package-lock.json", "JSON", 0, 0, 0, 4465, 0, 0, 0, 1, 4466
"c:\Users\annem\Documents\Programming\pathfinder-sheet\package.json", "JSON", 0, 0, 0, 31, 0, 0, 0, 1, 32
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\App.css", "CSS", 0, 37, 0, 0, 0, 0, 0, 6, 43
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\App.jsx", "JavaScript JSX", 21, 0, 0, 0, 0, 0, 1, 4, 26
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Attributes\AttributeDisplayTable.jsx", "JavaScript JSX", 99, 0, 0, 0, 0, 0, 6, 14, 119
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Attributes\getModifier.js", "JavaScript", 0, 0, 12, 0, 0, 0, 3, 0, 15
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Buffs\BuffForm.jsx", "JavaScript JSX", 99, 0, 0, 0, 0, 0, 14, 19, 132
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Buffs\BuffList.jsx", "JavaScript JSX", 66, 0, 0, 0, 0, 0, 8, 8, 82
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Buffs\BuffSelector.jsx", "JavaScript JSX", 81, 0, 0, 0, 0, 0, 7, 11, 99
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Buffs\BuffSelectorItem.jsx", "JavaScript JSX", 27, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Buffs\SelectedBuffItem.jsx", "JavaScript JSX", 48, 0, 0, 0, 0, 0, 1, 14, 63
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\CharacterListItem.jsx", "JavaScript JSX", 64, 0, 0, 0, 0, 0, 13, 13, 90
"c:\Users\annem\Documents\Programming\pathfinder-sheet\src\assets\Characters\CharacterSheet.jsx", "JavaScript JSX", 64, 0, 0, 0, 0, 0, 7, 10, 81
